channel,serial,sensitivity,calibdate,calibperiod,chipserial,manufacturer,sensorversion
AnalogInput_001,311684,0.01807409818766307 V/Pa,2017-07-19,720,101138935,G.R.A.S. Sound & Vibration,40P11
AnalogInput_002,344706,0.01819376975073832 V/Pa,2019-01-14,720,430708467,G.R.A.S. Sound & Vibration,40P11
AnalogInput_003,344690,0.0187740589615894 V/Pa,2019-01-14,720,430709028,G.R.A.S. Sound & Vibration,40P11
AnalogInput_004,440634,0.01800555378559912 V/Pa,2020-11-09,720,525715938,G.R.A.S. Sound & Vibration,40P11
AnalogInput_005,344686,0.01572566029968128 V/Pa,2019-01-14,720,430709085,G.R.A.S. Sound & Vibration,40P11
AnalogInput_006,288417,0.01931483077755229 V/Pa,2017-05-23,720,83993520,G.R.A.S. Sound & Vibration,40P11
AnalogInput_007,396592,0.01702845610519167 V/Pa,2019-12-16,720,525715879,G.R.A.S. Sound & Vibration,40P11
AnalogInput_008,396575,0.01865430059517931 V/Pa,2019-12-16,720,525715872,G.R.A.S. Sound & Vibration,40P11
AnalogInput_009,440644,0.01703867522240575 V/Pa,2020-11-09,720,525715991,G.R.A.S. Sound & Vibration,40P11
AnalogInput_010,440649,0.01674814478421658 V/Pa,2020-11-09,720,525716021,G.R.A.S. Sound & Vibration,40P11
AnalogInput_011,344697,0.01794444495727767 V/Pa,2019-01-14,720,430708241,G.R.A.S. Sound & Vibration,40P11
AnalogInput_012,440629,0.01681526480212679 V/Pa,2020-11-09,720,525715873,G.R.A.S. Sound & Vibration,40P11
AnalogInput_013,288421,0.02050496917772317 V/Pa,2017-05-23,720,83993488,G.R.A.S. Sound & Vibration,40P11
AnalogInput_014,311669,0.01842443834421368 V/Pa,2017-07-18,720,101137284,G.R.A.S. Sound & Vibration,40P11
AnalogInput_015,288426,0.01890214475255778 V/Pa,2017-05-23,720,83993543,G.R.A.S. Sound & Vibration,40P11
AnalogInput_016,311689,0.0173169216487324 V/Pa,2017-07-19,720,101138942,G.R.A.S. Sound & Vibration,40P11
AnalogInput_017,311820,0.01795880482048454 V/Pa,2017-07-17,720,101137292,G.R.A.S. Sound & Vibration,40P11
AnalogInput_018,344713,0.01467727957891795 V/Pa,2019-01-14,720,430708305,G.R.A.S. Sound & Vibration,40P11
AnalogInput_019,311674,0.0194582762750517 V/Pa,2017-07-18,720,101137278,G.R.A.S. Sound & Vibration,40P11
AnalogInput_020,344710,0.01683545321173907 V/Pa,2019-01-14,720,430708376,G.R.A.S. Sound & Vibration,40P11
AnalogInput_021,419087,0.01710353886497894 V/Pa,2020-11-09,720,525716010,G.R.A.S. Sound & Vibration,40P11
AnalogInput_022,288423,0.01889080800070927 V/Pa,2017-05-22,720,83993555,G.R.A.S. Sound & Vibration,40P11
AnalogInput_023,440630,0.01579499870402536 V/Pa,2020-11-09,720,525715932,G.R.A.S. Sound & Vibration,40P11
AnalogInput_024,311671,0.01643953907998297 V/Pa,2017-07-18,720,101137288,G.R.A.S. Sound & Vibration,40P11
AnalogInput_025,311826,0.01934962529929167 V/Pa,2017-07-17,720,101137260,G.R.A.S. Sound & Vibration,40P11
AnalogInput_026,311822,0.01759267414520022 V/Pa,2017-07-17,720,101137265,G.R.A.S. Sound & Vibration,40P11
AnalogInput_027,311679,0.01944660597771678 V/Pa,2017-07-19,720,101062838,G.R.A.S. Sound & Vibration,40P11
